%
%
% Run:00    Table:BUOYS             SWAN version:41.20
%
%       Time               Xp            Yp            Depth       X-Windv       Y-Windv         Hsig          Dir           RTpeak        Period        Tm01          Tm02          PkDir
%       [ ]                [degr]        [degr]        [m]           [m/s]         [m/s]         [m]           [degr]        [sec]         [sec]         [sec]         [sec]         [degr]
%
20120826.110000          -85.612       26.0440     3278.5854       -6.5690      -11.1651       2.35893        47.902        6.3292        5.4324        5.4324        4.8745        55.000
20120826.110000          -87.555       30.0650       24.8846       -5.7405       -3.6055       0.58149        91.487        3.9299        2.7434        2.7434        2.3316       105.000
20120826.110000          -96.695       26.9660       85.1907       -3.3099        1.2346       0.30190       134.716        3.5727        2.6827        2.6827        2.2953       135.000
20120826.110000          -94.413       29.2320       15.3785       -2.6385       -0.0550       0.30018       156.102        3.5727        2.7951        2.7951        2.4311       165.000
20120826.110000          -84.517       28.5000       51.6082       -6.2866       -7.5746       1.12003        47.542        4.3229        3.6299        3.6299        3.1684        55.000
20120826.110000          -88.207       29.2120      293.3774       -6.6486       -4.4829       0.82465        78.079        4.3229        3.2055        3.2055        2.7383       105.000
20120826.110000          -94.000       22.2030     3498.4778       -5.7451       -1.2190       0.60909        67.803        3.9299        2.9349        2.9349        2.4912        45.000
20120826.110000          -84.857       19.8020     4540.7300        2.8508       -5.1946       1.02066         9.460        6.3292        4.1934        4.1934        3.4061         5.000
20120826.120000          -89.658       25.8880     3176.6836       -5.4522       -5.0842       1.00113        70.164        4.7552        3.7373        3.7373        3.1611        85.000
20120826.120000          -93.666       25.7900     3211.0347       -6.2172       -1.6245       0.69921       102.871        4.3229        3.1089        3.1089        2.6431       115.000
20120826.120000          -85.612       26.0440     3278.5854       -6.1347      -11.6800       2.45594        46.225        6.9621        5.5572        5.5572        5.0287        45.000
20120826.120000          -87.555       30.0650       24.8846       -5.9151       -3.7984       0.62293        88.141        3.9299        2.7949        2.7949        2.3686        95.000
20120826.120000          -96.695       26.9660       85.1907       -3.4121        1.1867       0.30546       133.775        3.5727        2.7047        2.7047        2.3078       135.000
20120826.120000          -94.413       29.2320       15.3785       -2.5521       -0.2645       0.30113       156.689        3.5727        2.8560        2.8560        2.4931       165.000
20120826.120000          -84.517       28.5000       51.6082       -6.1867       -8.1194       1.19453        45.036        4.7552        3.7479        3.7479        3.2678        55.000
20120826.120000          -88.207       29.2120      293.3774       -6.8651       -4.7161       0.88994        77.338        4.3229        3.3338        3.3338        2.8497        95.000
20120826.120000          -94.000       22.2030     3498.4778       -5.7578       -0.9994       0.62282        66.597        4.3229        2.9706        2.9706        2.5029        45.000
20120826.120000          -84.857       19.8020     4540.7300        3.4001       -4.9258       1.08847         8.946        6.9621        4.4004        4.4004        3.5805         5.000
20120826.130000          -89.658       25.8880     3176.6836       -5.3838       -5.6326       1.05450        68.922        5.2307        3.8184        3.8184        3.2171        85.000
20120826.130000          -93.666       25.7900     3211.0347       -6.4430       -2.1502       0.71862        99.020        4.3229        3.0934        3.0934        2.6203       105.000
20120826.130000          -85.612       26.0440     3278.5854       -6.6105      -12.1110       2.59324        44.814        6.9621        5.6988        5.6988        5.1603        55.000
20120826.130000          -87.555       30.0650       24.8846       -5.7647       -3.9743       0.64960        87.298        3.9299        2.8716        2.8716        2.4289       105.000
20120826.130000          -96.695       26.9660       85.1907       -3.5977        1.0574       0.31091       132.628        3.5727        2.7017        2.7017        2.2915       135.000
20120826.130000          -94.413       29.2320       15.3785       -2.8465       -0.2697       0.30209       157.258        3.5727        2.9140        2.9140        2.5530       165.000
20120826.130000          -84.517       28.5000       51.6082       -6.3522       -8.2161       1.26745        43.705        4.7552        3.8669        3.8669        3.3835        45.000
20120826.130000          -88.207       29.2120      293.3774       -6.7544       -4.9758       0.94602        77.081        4.7552        3.4714        3.4714        2.9712       105.000
20120826.130000          -94.000       22.2030     3498.4778       -5.8037       -1.6518       0.63602        65.563        4.3229        3.0322        3.0322        2.5666        45.000
20120826.130000          -84.857       19.8020     4540.7300        3.7351       -4.4769       1.14292         8.494        6.9621        4.6486        4.6486        3.8066         5.000
20120826.140000          -89.658       25.8880     3176.6836       -5.3154       -6.1810       1.12683        67.089        5.2307        3.9214        3.9214        3.2946        85.000
20120826.140000          -93.666       25.7900     3211.0347       -6.6687       -2.6757       0.74986        94.579        4.3229        3.1207        3.1207        2.6518       115.000
20120826.140000          -85.612       26.0440     3278.5854       -7.0864      -12.5419       2.75229        43.192        6.9621        5.8614        5.8614        5.3580        45.000
